,wealth
2018-06-28,1.6412615924224965
2018-06-29,1.6409289239541411
2018-07-02,1.6642253354059995
2018-07-03,1.6482503784485256
2018-07-05,1.6600656741610387
2018-07-06,1.6833619482033686
2018-07-09,1.6948440258094124
2018-07-10,1.6993369051608425
2018-07-11,1.6970075388347134
2018-07-12,1.7337830005694463
2018-07-13,1.7544175146363488
2018-07-16,1.7457645618113729
2018-07-17,1.7630706048708533
2018-07-18,1.749258886119623
2018-07-19,1.7372775996967535
2018-07-20,1.768395498916992
2018-07-23,1.7966848229942765
2018-07-24,1.7915259196584938
2018-07-25,1.8442767505792859
2018-07-26,1.8241417201482661
2018-07-27,1.7918587255363776
2018-07-30,1.7534188221836409
2018-07-31,1.76523356825804
2018-08-01,1.7685624514940477
2018-08-02,1.7900282932080174
2018-08-03,1.7978495061573405
2018-08-06,1.7993468577887606
2018-08-07,1.8118273530284557
2018-08-08,1.821978207122965
2018-08-09,1.8249733226143898
2018-08-10,1.8138243257052864
2018-08-13,1.8006780813002952
2018-08-14,1.8231433025146149
2018-08-15,1.7984201679289555
2018-08-16,1.798086125365316
2018-08-17,1.7970837228553398
2018-08-20,1.7852232194079698
2018-08-21,1.770356470297371
2018-08-22,1.7883976543340099
2018-08-23,1.7967498177012287
2018-08-24,1.8107816665170209
2018-08-27,1.8308272433450261
2018-08-28,1.841852571678533
2018-08-29,1.8712525769742043
2018-08-30,1.8700825348395305
2018-08-31,1.8764311298725538
2018-09-04,1.8660741614853833
2018-09-05,1.8122852015772204
2018-09-06,1.8164612145560657
2018-09-07,1.8076077812290947
2018-09-10,1.827152500325933
2018-09-11,1.8582229932588594
2018-09-12,1.8660741614853833
2018-09-13,1.886119738313388
2018-09-14,1.8938038165533277
2018-09-17,1.8732565575369853
2018-09-18,1.8911307889965685
2018-09-19,1.8659069340892707
2018-09-20,1.8971446544183097
2018-09-21,1.9086711153020404
2018-09-24,1.9155196061995312
2018-09-25,1.9118448631804381
2018-09-26,1.903993557544386
2018-09-27,1.9111766406436304
2018-09-28,1.9105082806972942
2018-10-01,1.9312224922906924
2018-10-02,1.923537589593582
2018-10-03,1.9238721817953355
2018-10-04,1.884115070702965
2018-10-05,1.8730904294171002
2018-10-08,1.8517081326964229
2018-10-09,1.8752614999664656
2018-10-10,1.773363677827299
2018-10-11,1.769187527438925
2018-10-12,1.8303261107948023
2018-10-15,1.797417902828508
2018-10-16,1.8542136580380129
2018-10-17,1.8493692851128316
2018-10-18,1.8124522915638046
2018-10-19,1.8151251817110357
2018-10-22,1.8313287881238351
2018-10-23,1.8057697913766702
2018-10-24,1.7092180243510224
2018-10-25,1.809111178879766
2018-10-26,1.7867266170586409
2018-10-29,1.7347756470029028
2018-10-30,1.7327712542115365
2018-10-31,1.7842216413551648
2018-11-01,1.769354617425509
2018-11-02,1.773363677827299
2018-11-05,1.7959149174064224
2018-11-06,1.7994225704389315
2018-11-07,1.8702505866928136
2018-11-08,1.8667422466126626
2018-11-09,1.8303261107948023
2018-11-12,1.7852232194079698
2018-11-13,1.7863927119045298
2018-11-14,1.7610600286507068
2018-11-15,1.7998140501854594
2018-11-16,1.816758981004197
2018-11-19,1.7551879698623165
2018-11-20,1.706367601093046
2018-11-21,1.7298555614275506
2018-11-23,1.7291845907001742
2018-11-26,1.7862256219179458
2018-11-27,1.7974657213444056
2018-11-28,1.864237545728243
2018-11-29,1.8486348311833154
2018-11-30,1.8603788113505677
2018-12-03,1.880510543952905
2018-12-04,1.8206174405628157
2018-12-06,1.8318583644464461
2018-12-07,1.7585433731373132
2018-12-10,1.8050148634274163
2018-12-11,1.8217920172119277
2018-12-12,1.8300126796604288
2018-12-13,1.8362204299268001
2018-12-14,1.7788432950024622
2018-12-17,1.7261640544459877
2018-12-18,1.7442830122757238
2018-12-19,1.739585942365031
2018-12-20,1.7030126100466345
2018-12-21,1.647984628420521
2018-12-24,1.5791994796259685
2018-12-26,1.6870747536618398
2018-12-27,1.6974756930981114
2018-12-28,1.6842225440799934
2018-12-31,1.7040188600234067
2019-01-02,1.696469717940396
2019-01-03,1.6340596842178556
2019-01-04,1.7100588332555517
2019-01-07,1.7122393850623792
2019-01-08,1.7246543359570083
2019-01-09,1.7493160484834545
2019-01-10,1.7380759490569948
2019-01-11,1.7246543359570083
2019-01-14,1.7120720202567385
2019-01-15,1.761731136787612
2019-01-16,1.767938200006341
2019-01-17,1.7803535631295555
2019-01-18,1.8070283252476598
2019-01-22,1.772971648442657
2019-01-23,1.790251721101262
2019-01-24,1.78169536717478
2019-01-25,1.7979686402184991
2019-01-28,1.7629057134367243
2019-01-29,1.7270028022075905
2019-01-30,1.7847152163813242
2019-01-31,1.7520007558501316
2019-02-01,1.724319194117141
2019-02-04,1.773978448057543
2019-02-05,1.7988080750277442
2019-02-06,1.7788432950024622
2019-02-07,1.7660927900393808
2019-02-08,1.7728040088179593
2019-02-11,1.7657576481995136
2019-02-12,1.7932717077173346
2019-02-13,1.7919293540339962
2019-02-14,1.7934390725229756
2019-02-15,1.8155845417646133
2019-02-19,1.8147455191839537
2019-02-20,1.8053101565040355
2019-02-21,1.843387985749331
2019-02-22,1.869671817759021
2019-02-25,1.8801174152920361
2019-02-26,1.8930909359197767
2019-02-27,1.889890118364276
2019-02-28,1.8875309341704756
2019-03-01,1.895955237540126
2019-03-04,1.8914060202820355
2019-03-05,1.8819706576021173
2019-03-06,1.8828135276495734
2019-03-07,1.8598995269153662
2019-03-08,1.8619210958977876
2019-03-11,1.901009847043822
2019-03-12,1.9143200210162428
2019-03-13,1.9291469213635937
2019-03-14,1.9306630981004098
2019-03-15,1.9529033799166717
2019-03-18,1.9808715779259898
2019-03-19,2.0032710240620832
2019-03-20,2.0435446057091426
2019-03-21,2.0685477146352254
2019-03-22,2.006591227621224
2019-03-25,2.0173814988211842
2019-03-26,2.0281833942902807
2019-03-27,2.0076486891195238
2019-03-28,2.0164264002899057
2019-03-29,2.0247608277641183
2019-04-01,2.062783118122919
2019-04-02,2.062544213367684
2019-04-03,2.0701851751144633
2019-04-04,2.0680929801664734
2019-04-05,2.0890369637087627
2019-04-08,2.103340713629325
2019-04-09,2.0873996767260796
2019-04-10,2.100464140759463
2019-04-11,2.0967573868773997
2019-04-12,2.0956090131846605
2019-04-15,2.097667029311458
2019-04-16,2.1183268254978467
2019-04-17,2.1203506628034527
2019-04-18,2.116791901482185
2019-04-22,2.1459224934344454
2019-04-23,2.187378454098882
2019-04-24,2.1623411663516072
2019-04-25,2.1629097145599627
2019-04-26,2.217919052547727
2019-04-29,2.2040473090473065
2019-04-30,2.190505209000007
2019-05-01,2.17344980372866
2019-05-02,2.1612837048533073
2019-05-03,2.2313700669040326
2019-05-06,2.2178279668567327
