symbol,tf,variant,signal_ms,entry_ms,exit_ms,tclass,side,e,s,t,exit_price,reason,R
SUIUSDT,15,fixed,1789724699999,1789724700000,1789730099999,T+1,L,0.7936,0.7875,0.80763,0.7875,SL,-1.0
SUIUSDT,30,canonical,1787290199999,1787290200000,1787300999999,NORMAL,L,0.7615999999999999,0.7522,0.7832199999999998,0.7832199999999998,TP,2.3
SUIUSDT,30,canonical,1787848199999,1787848200000,1787855399999,NORMAL,L,0.7925,0.7784,0.8249299999999999,0.7784,SL,-1.0
SUIUSDT,30,fixed,1787290199999,1787290200000,1787300999999,NORMAL,L,0.7615999999999999,0.7522,0.7832199999999998,0.7832199999999998,TP,2.3
SUIUSDT,30,fixed,1787848199999,1787848200000,1787855399999,NORMAL,L,0.7925,0.7784,0.8249299999999999,0.7784,SL,-1.0
XRPUSDT,5,canonical,1786754699999,1786754700000,1786757099999,NORMAL,L,0.9996,0.9989,1.0012100000000002,1.0012100000000002,TP,2.3
XRPUSDT,5,canonical,1786823399999,1786823400000,1786833299999,NORMAL,L,1.0034,1.0024,1.0057000000000003,1.0057000000000003,TP,2.3
XRPUSDT,5,canonical,1787428199999,1787428200000,1787429099999,NORMAL,L,1.5042,1.4973,1.5200699999999998,1.4973,SL,-1.0
XRPUSDT,5,canonical,1787640899999,1787640900000,1787641499999,NORMAL,S,1.5,1.5053,1.4878099999999999,1.5053,SL,-1.0
XRPUSDT,5,canonical,1787755799999,1787755800000,1787758199999,NORMAL,S,1.3705,1.3776,1.3541700000000003,1.3776,SL,-1.0
XRPUSDT,5,canonical,1788082799999,1788082800000,1788083099999,NORMAL,S,1.3853,1.3871,1.38116,1.38116,TP,2.3
XRPUSDT,5,canonical,1788161999999,1788162000000,1788162299999,NORMAL,L,1.3698,1.3671,1.3760099999999997,1.3671,SL,-1.0
XRPUSDT,5,canonical,1788228599999,1788228600000,1788231899999,NORMAL,S,1.3724,1.3764,1.3632,1.3758,EMA,-0.8499999999999611
XRPUSDT,5,canonical,1788820199999,1788820200000,1788821099999,NORMAL,S,1.391,1.395,1.3818,1.3818,TP,2.3
XRPUSDT,5,canonical,1789502999999,1789503000000,1789505699999,T-1,S,1.2833,1.2943,1.2580000000000005,1.2943,SL,-1.0
XRPUSDT,5,fixed,1786754699999,1786754700000,1786757099999,NORMAL,L,0.9996,0.9989,1.0012100000000002,1.0012100000000002,TP,2.3
XRPUSDT,5,fixed,1786823399999,1786823400000,1786833299999,NORMAL,L,1.0034,1.0024,1.0057000000000003,1.0057000000000003,TP,2.3
