row,symbol,date,time,old_R,bars_old,tag,line_test,status,setup_exact,canonical_r,canonical_r_rounded_2dp,r_delta,canonical_match_old,match_round_1dp,match_round_2dp,side,exit_reason,entry_time_utc,exit_time_utc,entry,stop,target,exit_price
66,ETH,2025-12-11,07:20,2.3,3.0,Zone 1,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,SHORT,TP,2025-12-11T00:25:00Z,2025-12-11T00:30:00Z,3311.56,3318.9500000000003,3294.562999999999,3294.56
67,XRP,2025-12-19,07:20,0.7,25.0,T+1,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
68,SUI,2025-12-25,07:25,-1.0,2.0,Zone 1,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2025-12-25T00:30:00Z,2025-12-25T00:30:00Z,1.411,1.4143000000000001,1.4034099999999998,1.4143000000000001
69,SUI,2025-12-11,07:30,2.3,9.0,Zone 1,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,SHORT,TP,2025-12-11T00:35:00Z,2025-12-11T01:00:00Z,1.5963,1.6074000000000002,1.5707699999999998,1.5707
70,ETH,2025-12-23,07:30,-1.0,13.0,Zone 1,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
71,SOL,2025-12-11,07:35,2.3,31.0,Zone 1,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
72,BTC,2025-12-10,07:55,-1.0,,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2025-12-10T01:00:00Z,2025-12-10T01:15:00Z,92081.90000000001,92269.40000000001,91650.65000000001,92269.40000000001
73,SOL,2026-01-01,08:00,-1.0,7.0,,,CANONICAL_WR_TRADE,True,2.3,2.3,3.3,False,False,False,LONG,TP,2026-01-01T01:05:00Z,2026-01-01T01:15:00Z,125.251,125.059,125.69260000000003,125.693
74,BTC,2026-01-01,08:05,-1.0,6.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
75,ETH,2026-01-01,08:10,-1.0,3.0,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,LONG,SL,2026-01-01T01:15:00Z,2026-01-01T01:20:00Z,2985.78,2982.19,2994.0370000000007,2982.19
76,SUI,2025-11-03,08:25,2.3,12.0,,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,SHORT,TP,2025-11-03T01:30:00Z,2025-11-03T02:05:00Z,2.3022,2.3105,2.2831099999999998,2.2831
77,XRP,2025-11-23,08:25,2.3,3.0,,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,LONG,TP,2025-11-23T01:30:00Z,2025-11-23T01:35:00Z,1.973,1.9640000000000002,1.9936999999999998,1.9937
78,BTC,2025-12-03,08:45,2.3,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
79,SOL,2025-11-15,08:50,-1.0,2.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
80,BTC,2025-12-26,09:15,-0.7,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
81,XRP,2023-10-11,09:20,2.3,2.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
82,SOL,2025-12-26,09:20,-1.0,11.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
83,ETH,2025-12-26,09:20,-1.0,10.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
84,XRP,2023-08-18,09:25,2.3,3.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
85,XRP,2023-10-21,09:30,-1.0,7.0,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2023-10-21T02:35:00Z,2023-10-21T03:00:00Z,0.5111,0.5123,0.50834,0.5123
86,BTC,2025-11-21,09:40,-0.7,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
87,SUI,2025-11-05,09:50,-0.2,19.0,,,CANONICAL_WR_TRADE,True,-0.01875000000001154,-0.02,0.18124999999998848,False,False,False,LONG,EMA,2025-11-05T02:55:00Z,2025-11-05T04:25:00Z,2.0075000000000003,1.9915,2.0443000000000007,2.0072
88,XRP,2025-11-21,09:50,-1.0,3.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
89,ETH,2025-11-21,09:50,-1.0,24.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
90,XRP,2023-08-21,10:10,2.3,15.0,Zone 1,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,SHORT,TP,2023-08-21T03:15:00Z,2023-08-21T04:25:00Z,0.5322,0.5342,0.5276,0.5276000000000001
91,SOL,2025-12-03,10:10,2.3,14.0,Zone 1,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,LONG,TP,2025-12-03T03:15:00Z,2025-12-03T04:20:00Z,140.131,139.849,140.77960000000002,140.78
92,XRP,2025-12-29,10:25,2.3,3.0,Zone 1,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,LONG,TP,2025-12-29T03:30:00Z,2025-12-29T03:30:00Z,1.8991,1.8956000000000002,1.9071499999999997,1.9072
93,SUI,2025-12-29,10:35,-0.7,17.0,Zone 1,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
94,ETH,2025-12-29,10:35,-0.2,17.0,Zone 1,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
95,SUI,2025-11-24,11:05,-1.0,2.0,Zone 1,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
96,XRP,2025-11-23,11:15,-1.0,13.0,Zone 1,,CANONICAL_WR_TRADE,True,-0.7867647058823576,-0.79,0.21323529411764242,False,False,False,LONG,EMA,2025-11-23T04:20:00Z,2025-11-23T05:20:00Z,2.0594,2.0458000000000003,2.09068,2.0487
97,SUI,2025-12-17,11:15,-0.2,20.0,T+1,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
98,XRP,2025-12-14,11:20,2.3,5.0,Zone 1,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,SHORT,TP,2025-12-14T04:25:00Z,2025-12-14T04:45:00Z,2.0201000000000002,2.0223,2.015040000000001,2.015
99,BTC,2025-12-17,11:25,2.3,,T+1,Ok,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
100,XRP,2023-10-13,11:25,-1.0,3.0,Zone 1,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2023-10-13T04:30:00Z,2023-10-13T04:40:00Z,0.4817,0.48250000000000004,0.47985999999999995,0.48250000000000004
101,SOL,2025-11-14,11:30,-1.0,15.0,T+1,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
102,ETH,2025-12-03,11:30,2.3,22.0,Zone 1,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,LONG,TP,2025-12-03T04:35:00Z,2025-12-03T06:00:00Z,3049.91,3041.3,3069.7129999999993,3069.7200000000003
103,ETH,2025-12-17,11:30,-0.3,15.0,T+1,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
104,SUI,2025-12-02,11:35,-1.0,6.0,Zone 1,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,LONG,SL,2025-12-02T04:40:00Z,2025-12-02T05:05:00Z,1.3585,1.3522,1.37299,1.3522
105,XRP,2025-11-11,11:40,2.3,13.0,Zone 1,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,SHORT,TP,2025-11-11T04:45:00Z,2025-11-11T05:30:00Z,2.5053,2.5155000000000003,2.4818399999999996,2.4818000000000002
106,ETH,2025-11-11,12:10,-1.0,2.0,Zone 1,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2025-11-11T05:15:00Z,2025-11-11T05:20:00Z,3555.9900000000002,3567.59,3529.3100000000004,3567.59
107,SUI,2025-11-04,12:15,2.3,6.0,Zone 1,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
108,XRP,2025-12-20,12:15,2.3,4.0,Zone 1,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
109,BTC,2025-12-04,12:15,-0.7,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
110,DASH,2025-11-26,12:20,-0.7,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
111,XRP,2023-10-26,12:45,-0.7,10.0,,,CANONICAL_WR_TRADE,True,-0.29411764705880433,-0.29,0.4058823529411956,False,False,False,SHORT,EMA,2023-10-26T05:50:00Z,2023-10-26T06:40:00Z,0.5519000000000001,0.5536,0.5479900000000002,0.5524
