symbol,event_date,surprise_pct,reaction_2session,pre_dd52,pre_mom63,entry_date,entry_open,ret_4w,ret_8w,ret_13w,strong_beat,underreaction,near_consensus
C,2017-07-14,5.97,-0.002834762284934067,-0.027426336942974472,0.14850358020070398,2017-07-18,51.40741611601136,0.026556166155245364,0.040165097567421704,0.09157596782076705,False,False,False
JPM,2017-07-14,8.02,-0.018367009272189483,-0.014918880245244903,0.09616082181047858,2017-07-18,73.39808433073462,0.022553935628701227,0.004864100644052849,0.08557874127833531,False,False,False
WFC,2017-07-14,5.9,-0.016007425293077082,-0.06667656192323412,0.054031636805315975,2017-07-18,43.56940465328468,-0.019998084899675028,-0.0435536052967761,-0.013507291595280302,False,False,False
NFLX,2017-07-17,-1.68,0.13952333664349537,-0.034457961287229555,0.1273439686537925,2017-07-19,182.97,-0.0790840028419959,0.003661802481281118,0.0686997868503032,False,False,True
BAC,2017-07-18,7.21,0.0016661595023470532,-0.06593505281785739,0.05650363655528623,2017-07-20,20.046164912280698,0.00707542257284377,0.014318703301869906,0.11223768224818631,False,False,False
GS,2017-07-18,16.67,-0.027872029522123087,-0.09837404623715351,0.016750046166501553,2017-07-20,188.51525191183086,0.01170434787526431,0.020739160617082142,0.07986435015460036,True,True,False
IBM,2017-07-18,1.76,-0.035814351759262286,-0.15474172896620253,-0.09699132701949476,2017-07-20,99.31431921690424,-0.02388899441300718,-0.003065209723075113,0.10214922543987992,False,False,True
JNJ,2017-07-18,1.94,0.023154989069968046,-0.03540111905191812,0.05811674309084158,2017-07-20,109.61541681189135,-0.011493062276570987,-0.005130818531270176,0.053146567860121285,False,False,True
PGR,2017-07-18,-0.93,0.0048402425475526645,-0.018993242586673897,0.14888951086806057,2017-07-20,37.5342943201377,0.06656594256314063,0.00876014018161242,0.06612634458217781,False,False,True
PLD,2017-07-18,10.62,0.027339541487451546,-0.016305584583756638,0.06721393300889522,2017-07-20,49.21976721311476,0.03508616323616209,0.08563495980456737,0.08061258741240107,True,True,False
UNH,2017-07-18,3.44,0.01524064444777573,-0.01224423966653232,0.11926995593051326,2017-07-20,168.82949077806788,0.02301854494746225,0.04788742289437975,0.07714119826998833,False,False,True
AXP,2017-07-19,2.45,-0.001987674343172263,-0.004193044144282898,0.13263971549912545,2017-07-21,77.31835026288118,0.003497872577457928,0.013988267124706688,0.07757989813187316,False,False,True
MS,2017-07-19,14.36,0.030348861499895463,-0.04195281086489244,0.10032486438444344,2017-07-21,36.68198102597123,-0.0171277834075102,0.01578483380215534,0.10472223327603292,True,False,False
QCOM,2017-07-19,3.01,-0.041215469128435545,-0.19261997167387757,0.07925398542918094,2017-07-21,43.452640118870725,-0.025902686598366698,-0.016621317298441074,-0.01982480504093964,False,False,True
ABT,2017-07-20,2.48,0.028525391684537826,-0.0008085708510207068,0.14025163854597134,2017-07-24,44.52866375984252,-0.04073923640795418,0.024995949713659593,0.10911929148297128,False,False,True
DHR,2017-07-20,2.2,-0.03193861516798524,-0.02201372420176595,-0.005873856133128075,2017-07-24,71.08739294231,-0.02531099914959878,0.06194919908321661,0.09218100125022044,False,False,True
ISRG,2017-07-20,2.72,-0.04067074283288585,-0.0006822050230755883,0.19696694504955725,2017-07-24,102.97673411928241,0.06206417338225578,0.12894044459923593,0.20907699263193158,False,False,True
MSFT,2017-07-20,38.93,-0.0009483132303749198,-0.002431118314424774,0.14211923416809302,2017-07-24,67.29163887228262,-0.008890240783376635,0.027615037452785263,0.07779214796139522,True,True,False
PM,2017-07-20,-7.11,-0.01677311188793995,-0.0071655252241934475,0.07685648822831004,2017-07-24,79.89142725208175,-0.034329431159465185,-0.02804965850730079,-0.07558291871578016,False,False,False
SHW,2017-07-20,-1.06,-0.020988482921889928,-0.00786064544823517,0.15757169473833388,2017-07-24,109.41239543864639,-0.06233841614838842,-0.031755044067147464,0.10186692756949567,False,False,True
UNP,2017-07-20,4.37,-0.02772633710955441,-0.05828830435436794,0.015432797566799827,2017-07-24,88.44306911055374,-0.008209451773390497,0.07562187695099065,0.08675898480925315,False,False,True
V,2017-07-20,6.62,0.013740900599110928,-0.0008135869012507735,0.0966494602588499,2017-07-24,94.37036499950183,0.03139158146218701,0.05473471465883861,0.08190002232733717,False,False,False
GE,2017-07-21,12.0,-0.04720947048041846,-0.1614197015851444,-0.11083034919970403,2017-07-25,113.94691556603773,-0.042237348348832415,-0.044121559070408045,-0.13536492400356848,True,True,False
HON,2017-07-21,1.14,0.020451706404116976,-0.010703899151745633,0.09033070774933405,2017-07-25,115.50673761553004,-0.01760795653583236,-0.0018106096652661385,0.05884126350354246,False,False,True
SLB,2017-07-21,17.53,-0.0089515661982007,-0.2267267035184416,-0.1176178684513648,2017-07-25,53.68408744963438,-0.05970088348137148,0.021324988553445445,-0.06066392490493133,True,True,False
GOOG,2017-07-24,12.06,-0.022839226960945314,-0.015511463724417252,0.1538555032315876,2017-07-26,47.50897835830344,-0.0314146590787,-0.02419707596390608,0.019535710380822247,True,True,False
GOOGL,2017-07-24,11.67,-0.024963805918844395,-0.014643429876833092,0.1570401841696456,2017-07-26,48.40752745499373,-0.03328464682464416,-0.025944879257909115,0.01920305774490383,True,True,False
AMD,2017-07-25,7792.31,0.04237288135593209,-0.0893890675241158,0.07844630616907833,2017-07-27,14.99,-0.1674449633088726,-0.10540360240160107,-0.19913275517011342,True,False,False
AMGN,2017-07-25,5.09,-0.028554112843945822,-0.009993866758133185,0.1178682857690816,2017-07-27,138.588309613709,-0.02777297467901474,0.07370672472132211,0.015488249999397352,False,False,False
CAT,2017-07-25,17.9,0.04936222031433424,-0.009446952250081297,0.12551150201642725,2017-07-27,95.9932225933374,0.009057695774482122,0.0973451786929711,0.21136885353477908,True,False,False
CMG,2017-07-25,6.22,0.0018236366845110208,-0.3186773547094188,-0.27477121952260075,2017-07-27,6.7924000000000015,-0.12522819621930414,-0.07773393793062855,-0.1710735527942997,False,False,False
FCX,2017-07-25,-16.96,0.1620396457616713,-0.24032857605241942,0.059684865336969484,2017-07-27,13.81697875862069,0.015272603733840873,-0.07171457493936295,-0.02456968086520972,False,False,False
GM,2017-07-25,11.69,-0.005582947101817282,-0.05083421452638037,0.06811175271039471,2017-07-27,30.85199599332221,-0.0008426032898434244,0.11200909034947881,0.2869151159164467,True,True,False
LLY,2017-07-25,5.41,-0.03422194734714312,-0.016522813718855334,0.022382748558821275,2017-07-27,72.07367554806072,-0.03805793900758725,0.025703204919859557,0.03591914013339004,False,False,False
MCD,2017-07-25,6.98,0.030688018839222453,-0.03125956035212263,0.13835966532300503,2017-07-27,130.35292342784325,0.015279109357752452,0.0227173775185483,0.05474351003801514,False,False,False
MMM,2017-07-25,-11.52,-0.05223840784924849,-0.02129836186515266,0.08765000474000262,2017-07-27,126.20538562359408,0.023579139366375568,0.06282152173800504,0.176457718237363,False,False,False
T,2017-07-25,7.71,0.049685401947344277,-0.13021274665971272,-0.08291650324778232,2017-07-27,17.99761742127737,-0.007335272118924596,0.000521323378701366,-0.1072540534723938,False,False,False
TXN,2017-07-25,7.8,0.01989707670963292,-0.04406343676703983,0.0042165347081568605,2017-07-27,66.83030791651228,-0.015098058769574929,0.04772972297946865,0.17070536466388164,False,False,False
BA,2017-07-26,10.76,0.13433122107212814,-0.007196261682243077,0.16662004759806903,2017-07-28,226.91917529738467,-0.0027242091664335666,0.07125455432060912,0.07129641944720122,True,False,False
F,2017-07-26,29.79,-0.007994388045477918,-0.14928550351824765,-0.005685332631440332,2017-07-28,7.4747923008057295,-0.0394515712194361,0.06188903725718298,0.09505383836788117,True,True,False
GILD,2017-07-26,18.82,0.016543891958256562,-0.09870249235251372,0.10746749741059047,2017-07-28,56.3398786410324,-0.013198087375553058,0.11706133413933717,0.033887566054803475,True,True,False
KO,2017-07-26,2.69,0.01945139670434881,-0.013733424514345005,0.05804467983009576,2017-07-28,36.31980439034992,-0.012825079819914653,-0.003215997231002521,0.009490569000466742,False,False,True
LRCX,2017-07-26,2.76,0.0018248050931126691,-0.015506646990134154,0.13149764632464556,2017-07-28,14.667748607673268,-0.033055421158474485,0.07883632473233138,0.2697245158849437,False,False,True
NEE,2017-07-26,5.88,0.010760750618084458,-0.012148377771538543,0.08426534244468376,2017-07-28,29.91581890848952,0.039343101223830335,0.018808814601789292,0.08479731406552227,False,False,False
ORLY,2017-07-26,5.03,0.07738827936847748,-0.3619382598005737,-0.29212759509016517,2017-07-28,200.37,-0.019613714627938372,0.04601487248590108,0.08319608723860861,False,False,False
PYPL,2017-07-26,8.01,0.03244078269824935,-0.01886156955203777,0.3030641914560501,2017-07-28,59.8,0.0033444816053511683,0.08829431438127089,0.18829431438127098,False,False,False
TMO,2017-07-26,1.55,-0.026980209646121134,-0.014983721624142188,0.13523078860267668,2017-07-28,171.96913064726942,0.0037650324235145582,0.07500049168234457,0.09852157354613911,False,False,True
VRTX,2017-07-26,10.64,-0.03568562079397419,-0.03503127792672023,0.381171655154771,2017-07-28,155.3,0.005022537025112683,-0.026014166130071015,-0.03341918866709592,True,True,False
AMZN,2017-07-27,-71.81,-0.031117021276595658,-0.00037979491074824345,0.15782643601051372,2017-07-31,50.95249484171629,-0.07241048457347754,-0.0777782295847792,0.09008401203007899,False,False,False
BMY,2017-07-27,0.38,-0.012685072186787605,-0.2506404726106388,0.04836899189625665,2017-07-31,43.126409367311076,0.05000858324003321,0.1367141554139668,0.10107474043487019,False,False,True
CMCSA,2017-07-27,7.47,0.00432260024301323,-0.06329983381041737,0.01856120494676694,2017-07-31,33.413636143386896,0.006508236807269752,-0.0508276362410508,-0.08232375942512649,False,False,False
COP,2017-07-27,1033.33,0.035699330890230696,-0.1640125396836003,-0.0853765798127335,2017-07-31,35.91970381309235,-0.0386056583402814,0.1025814746714202,0.13975048939791068,True,False,False
INTC,2017-07-27,5.92,0.016115304849876555,-0.08301780301155737,-0.052043850665366986,2017-07-31,29.3827,-0.015230050335741874,0.05549864375976332,0.26029262116823837,False,False,False
KLAC,2017-07-27,3.07,-0.06404908307825663,-0.07966088482359024,0.005987044911352601,2017-07-31,83.08408332073843,-0.03690217425764308,0.053893796504629776,0.14266771932119116,False,False,True
MA,2017-07-27,5.42,-0.0235126364597531,-0.0014483915230979472,0.12962896344315022,2017-07-31,122.7377777777778,0.037109375,0.08257785341830814,0.1654765353418306,False,False,False
PG,2017-07-27,8.61,0.010189855250748225,-0.014240718866733615,0.025765773597127506,2017-07-31,73.90654396608677,0.025495117655316868,0.027823734185931093,-0.03651021711047597,False,False,False
SBUX,2017-07-27,-0.2,-0.06799994308607615,-0.1068301904131338,-0.05492877930709905,2017-07-31,46.25925261207855,0.0023011047933285678,0.013178928614213437,0.017236495250104067,False,False,True
UPS,2017-07-27,7.65,-0.023421358508673218,-0.05303778435871731,0.05169951372472159,2017-07-31,84.14133919666334,0.03819954417202953,0.08232767471344649,0.08113800978826591,False,False,False
VZ,2017-07-27,0.1,0.0797307584438478,-0.16642084370798516,-0.050203114743181065,2017-07-31,32.2780875,0.017343422221034688,0.04284059580667532,0.01157170479818559,False,False,True
ABBV,2017-07-28,1.53,-0.025372823589284943,-0.04411068932900031,0.09542502982758072,2017-08-01,50.644983560670646,0.046980298383926256,0.21876434071810458,0.2977237897859373,False,False,True
CVX,2017-07-28,5.84,0.02902585379414524,-0.09062685551718941,0.01630277612302322,2017-08-01,78.72463199133418,-0.006365631425108931,0.08362907316468049,0.06859946972200892,False,False,False
MRK,2017-07-28,15.5,0.0029821258061122347,-0.04081213249502258,0.025222006089310023,2017-08-01,48.75535919899875,-0.011245106343304445,0.018556745676069797,-0.13353525245143616,True,True,False
XOM,2017-07-28,-6.73,-0.00977349141744821,-0.11667106654185389,0.004102766391075985,2017-08-01,56.04150879381314,-0.03678539065387787,0.018889413025648505,0.04987537392097163,False,False,False
AAPL,2017-08-01,6.27,0.05654818530369843,-0.05055998180729526,0.018853294406865784,2017-08-03,36.62958809539115,0.044199566219325304,-0.020171892008911674,0.07462578878829351,False,False,False
APD,2017-08-01,3.65,0.04192716516693107,-0.036568132677269105,0.00745285629168424,2017-08-03,123.97608797985299,-0.019936812171833074,0.019330437499661013,0.08037930686896999,False,False,True
ETN,2017-08-01,-0.65,-0.045321458598164055,-0.04140578287511676,0.035908992485544466,2017-08-03,61.491707105012914,-0.03856466532898695,0.029634774846550416,0.08211990092198018,False,False,True
PFE,2017-08-01,1.89,0.002475204072676096,-0.07875562535445291,-0.008838933064221455,2017-08-03,22.863279236210346,0.015173709781762579,0.08042244267731857,0.07617108402505424,False,False,True
MCHP,2017-08-03,6.52,0.045980927405617766,-0.08766872384920799,0.06559262468120397,2017-08-07,36.57515090609555,0.055629274069935786,0.08807206570862292,0.1458708702966769,False,False,False
REGN,2017-08-03,31.65,-0.016903537949803593,-0.12276699966873617,0.1714614929708571,2017-08-07,468.1084838481173,0.07529155605587823,-0.013804030627682207,-0.13244875063668793,True,True,False
AON,2017-08-04,-0.06,-0.0014391152129221707,-0.013947787424476443,0.14966217021535821,2017-08-08,129.74105650165967,0.013649831025675851,0.063916879682834,0.015186738504130437,False,False,True
CI,2017-08-04,17.48,-0.0003976700207584116,-0.006714060031595581,0.12326941763919219,2017-08-08,163.09933766440813,0.054875528397347884,0.0929014338903622,0.1697503051334195,True,True,False
BKNG,2017-08-08,6.64,-0.06650217012791215,-0.0009146445847659779,0.07286580954532673,2017-08-10,1879.6693675738802,-0.028865059201294674,0.004941524603397918,-0.10371428663834825,False,False,False
CVS,2017-08-08,1.73,0.003918266585654084,-0.1768615000074163,-0.017464498306980936,2017-08-10,62.69842357846854,0.0164322539982531,0.02262539216406423,-0.1218040764439755,False,False,True
DIS,2017-08-08,1.7,-0.03309767781466921,-0.07716543668109921,-0.0384027856844662,2017-08-10,97.67961766156883,-0.053073689124486734,-0.023317225395579455,0.0017555590668394405,False,False,True
MNST,2017-08-08,-2.13,-0.015888027236618085,-0.025258112094395324,0.090552805280528,2017-08-10,25.935,0.08656256024677078,0.06805475226527857,0.1312897628687102,False,False,True
NVDA,2017-08-10,31.84,-0.09384633486292515,-0.014032942644572,0.42047733654231867,2017-08-14,3.942350908551068,0.05936789922512298,0.16209848039219876,0.3328341697343189,True,True,False
HD,2017-08-15,1.54,-0.013029845473785495,-0.03545073140627797,-0.01380949114449137,2017-08-17,125.92024328188684,0.05607324552500148,0.09059589165957505,0.10987793826875025,False,False,True
TJX,2017-08-15,1.2,0.02829522845363064,-0.1546680813266086,-0.09064059151182846,2017-08-17,31.969305053380783,0.029966086063478947,0.009846787288418923,-0.023945001372490893,False,False,True
CSCO,2017-08-16,0.64,-0.03272316950852561,-0.06387654075106541,-0.055689570969794766,2017-08-18,24.65617714850181,0.046451761138801784,0.08900904784550279,0.1680723993236719,False,False,True
TGT,2017-08-16,3.47,0.03256561376418987,-0.2931845524034148,0.007928841755701077,2017-08-18,45.83504814016172,0.07243914852418354,0.08835709842507433,0.05067196292095111,False,False,True
AMAT,2017-08-17,2.91,-0.003600185531033584,-0.07104003756235677,0.042087145991785535,2017-08-21,40.42710526437312,0.09184171637683192,0.2506782187187111,0.30930225287850033,False,False,True
WMT,2017-08-17,1.25,-0.02062002633057458,-0.012321820460139965,0.08478877851762912,2017-08-21,23.302800706812196,0.01112309616551932,0.08367231551775722,0.23205362141757524,False,False,True
